epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3241.36,1.21983,0.84552,1.32138,0.65127,0.61644,0.60826,0.2776,1.36317,7.28895,1.26234,0.0018647,0.0018647,0.0018647
43,3315.84,1.12957,0.82989,1.27799,0.71874,0.80822,0.8067,0.51606,1.09323,1.6384,1.09988,0.0018614,0.0018614,0.0018614
44,3390.19,1.16309,0.84275,1.31002,0.73149,0.55981,0.66447,0.44625,1.04491,1.67885,1.13106,0.0018581,0.0018581,0.0018581
45,3464.79,1.14958,0.8345,1.28442,0.8413,0.65753,0.6931,0.46399,0.94648,1.38095,1.03393,0.0018548,0.0018548,0.0018548
46,3539.01,1.1187,0.82985,1.27418,0.78828,0.68493,0.70326,0.43888,1.00498,1.34149,1.04993,0.0018515,0.0018515,0.0018515
47,3613.42,1.11106,0.82963,1.26703,0.83402,0.72603,0.77567,0.51846,0.9479,1.13879,0.97517,0.0018482,0.0018482,0.0018482
48,3687.71,1.09064,0.83603,1.25549,0.77128,0.64674,0.70227,0.44415,0.92366,1.29434,0.97303,0.0018449,0.0018449,0.0018449
49,3761.74,1.11583,0.82861,1.26398,0.75341,0.68493,0.74018,0.41146,1.06612,1.42937,1.06334,0.0018416,0.0018416,0.0018416
50,3836.22,1.0525,0.76364,1.21962,0.7366,0.57534,0.69965,0.42215,1.07399,1.54698,1.12482,0.0018383,0.0018383,0.0018383
51,3912.25,1.07879,0.80187,1.25161,0.78215,0.63943,0.70406,0.50576,0.90318,1.20136,0.93302,0.001835,0.001835,0.001835
52,3991.13,1.09337,0.75844,1.24558,0.8648,0.70103,0.80706,0.44323,1.07611,1.55635,1.06283,0.0018317,0.0018317,0.0018317
53,4073.91,1.10002,0.7975,1.26131,0.6935,0.71288,0.6827,0.42701,1.08898,1.45343,1.15932,0.0018284,0.0018284,0.0018284
54,4157.12,1.12207,0.78419,1.26203,0.82027,0.68774,0.79019,0.51222,0.90567,1.94692,0.99051,0.0018251,0.0018251,0.0018251
55,4231.59,1.05977,0.76695,1.23273,0.80159,0.75342,0.78162,0.49969,0.89488,0.98674,0.95877,0.0018218,0.0018218,0.0018218
56,4306.1,1.09134,0.77317,1.24089,0.73103,0.73973,0.75541,0.51681,0.89314,1.18872,1.00501,0.0018185,0.0018185,0.0018185
57,4380.66,1.05755,0.74659,1.22574,0.78677,0.75342,0.77555,0.48026,0.98042,1.74883,1.07849,0.0018152,0.0018152,0.0018152
58,4455.42,1.09404,0.76859,1.25861,0.81191,0.60274,0.74757,0.53838,0.87649,1.96418,0.9904,0.0018119,0.0018119,0.0018119
59,4530.16,1.0925,0.76705,1.25767,0.84553,0.69863,0.75834,0.46946,0.99473,1.04264,1.02692,0.0018086,0.0018086,0.0018086
60,4604.28,1.02646,0.72543,1.21143,0.87688,0.79452,0.85091,0.52922,0.96364,0.94006,0.99921,0.0018053,0.0018053,0.0018053
